releasedate,aw_contractperiod_startdate,aw_contractperiod_enddate,buyer,buyer_matched_name,level1,ocid,aw_supplier_name,aw_value,aw_total_suppliers,aw_value_currency
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
2017-01-18 11:26:50+00,2016-04-18 00:00:00+00,2018-04-17 00:00:00+00,Ministry of Justice.,MINISTRY OF JUSTICE LIMITED,,ocds-0c46vo-0001-24ac8ce0-92cd-424a-a54b-4dcfc35eccf9,Deloitte LLP UK,850000,1,GBP
