releasedate,startdate,enddate,buyer,buyer_matched_name,level1,ocid,contactname,title,description,value,currency
2019-09-13 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-430972-2019,RM6175 Records Management Mailbox,Records Information Management and Associated Services,"Records information management and associated services:The framework will be broken down into individual lots which will be finalised once customer and supplier engagement activity is completed. However, an indication of the types of services that will be requires include, but are not limited to:— storage of active and inactive records,— specialist records management services (cataloguing, listing, appraisal and selection, triage sensitivity review and file preparation services),— scanning and data entry services,— shredding, destruction and disposal services,— patient record preparation services.",,
2017-02-10 00:00:00+00,2017-02-10 00:00:00+00,2017-03-13 15:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0002-052965-2017,,Electronic disclosure services (edisclosure services).,"Crown Commercial Service as the Authority is putting in place a pan government Framework Agreement for use by UK public sector bodies identified at VI.3) (and any future successors to these organisations), which include Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public Bodies, NHS bodies and Local Authorities.

This Procurement will be concluded with an initial Framework Period of two (2) years. The Authority may, at its sole discretion, extend the duration of this Framework from the expiry of the Initial Framework Period for a maximum of two (2) further terms, each of these further terms will be for up to a maximum of twelve (12) months duration.

Potential Providers are permitted to bid for all Lots.

Cyber Essentials is mandatory for Central Government Contracts which involve handling personal information and providing certain ICT products and services.

The Government is taking steps to further reduce the levels of cyber security risk in its supply chain through the Cyber Essentials scheme. The scheme defines a set of controls which, when properly implemented, will provide organisations with basic protection from the most prevalent forms of threat coming from the internet.

To participate in this Procurement, Potential Providers (and Key Sub-Contractors / Sub-Contractors) must be able to demonstrate compliance with the technical requirements prescribed by Cyber Essentials (or equivalent standard accepted by the Authority as referenced in the ITT Suite) for Services under and in connection with this Procurement. Further details of the Cyber Essential Scheme may be found here:

https://www.cyberstreetwise.com/cyberessentials/

Further details of this mandatory requirement can be found in PPN 09/14.

Crown Commercial Service reserves the right for an electronic auction to be held by contracting authority(s) during further competition among the parties to the Framework Agreement(s).",13000000.0,GBP
2019-11-12 00:00:00+00,2019-11-12 00:00:00+00,2019-11-26 00:00:00+00,"The Cabinet Office is leading this development, with scope to partner with other departments.",,,ocds-0c46vo-0070-11095,,Analysing and Managing Documents - Discovery and Alpha,"Discovery and Alpha to research, build and test approaches to automate document management; including analysis (content, metadata), categorisation (document-type, topic) and deletion/ retention automation.Particularly interested in automated analysis of recurrent file-types through common data-entities, e.g.  minutes containing “decisions” / ""actions”, as well as exploring cross-document content and thematic linkages.
The government holds a wealth of information across a high volume of digital documents received or created by public servants. Accessing, analysing and retrieving this information is largely manual and resource-intensive, with the government being at risk of legal and reputational damage if it fails to do so effectively. Moreover, there is an opportunity-cost in not accessing and utilising valuable information held in recent and legacy digital documents to inform current government work. The challenge is therefore to explore how government can automate the analysis of existing digital documents, to better manage and exploit its digital information.",,
2017-05-19 00:00:00+00,2017-05-19 00:00:00+00,2017-06-12 15:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0002-189318-2017,,Finance and complex — legal services panel agreement.,"Crown Commercial Service as the Authority is putting in place a Panel Agreement for Finance and Complex Legal Services (‘the Panel’) for Crown Bodies and other permitted users identified at VI.3 (and any future successors to these organisations) (‘Panel Customers’). Panel Customers will then be able to enter into Legal Service Contracts with successful Suppliers for any required services. This procurement relates to the legal services which are listed in Schedule 3 of the Public Contracts Regulations 2015 (PCR) 2015 as a specific service. This procurement is being conducted under the Light Tough Regime (‘LTR’) is therefore subject to limited regulation a and will be conducted in

accordance with regulations 74 to 76 PCR 2015.

This Panel Agreement will be for an initial Panel Period of two (2) years, with the option to extend for up to two (2) further periods of twelve (12) consecutive months.",,
2019-05-03 00:00:00+00,,,The Minister for the Cabinet Office acting through Civil Service Human Resources (CSHR) and its Agent Crown Commercial Service (CCS),,,ocds-0c46vo-0354-MAY293585,,Learning and Development,"The commercial vehicle(s) will deliver blended learning solutions for some or all the following (this list is not exhaustive and could be subject to change): — a common, centralised curriculum offer across the civil service including but not limited to leadership and management, change management and personal effectiveness (eg. diversity and inclusion, and resilience and wellbeing), providing a range of products/services, — professions/functions/specialisms including but not limited to project management, commercial skills, financial management, digital skills, “International” learning, — learning and development consultancy services, — executive coaching, — support infrastructure and services which may include, administration, scheduling, bookings, venues, evaluation, management information reporting and analysis, sourcing and procurement, supply chain management and invoicing of services purchased.",,
2017-04-14 00:00:00+00,2017-04-14 00:00:00+00,2017-05-10 15:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0002-143793-2017,,Managed learning services.,"Crown Commercial Service as the Contracting Authority is putting in place a Pan Government Framework Agreement, for the duration of 3 years plus 1, for the provision of managed learning services for use by UK public sector bodies identified at VI.3 (and any future successors to these organisations), which include Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public Bodies, NHS bodies and Local Authorities.

The above Public Sector Bodies have a need for appointment of a single prime contractor, or a consortium with a lead supplier acting as prime contractor, to work in effective partnership with participating organisations by providing access to a range of high quality learning and development services and solutions designed to meet the needs of the Civil Service and UK public sector bodies, on a managed service basis.

This procurement relates to the Administrative social, educational, healthcare and cultural services which are listed in Schedule 3 of the Public Contracts Regulations 2015 (PCR) 2015 as a specific service. This procurement is being conducted under the Light Touch Regime (‘LTR’) and will be conducted in accordance with regulations 74 to 76 PCR 2015 in the style of the open procedure.

The procurement will be conducted in three (3) stages which will be run consecutively. Full details are available in the Invitation to Tender which can be accessed at https://gpsesourcing.cabinetoffice.gov.uk using the instructions detailed in III.2.1.

Although this procurement is being run under the Light Touch Regime, the Authority has chosen to observe a Standstill Period. Following a Standstill Period of ten (10) calendar days and subject to there being no substantive challenge to the Intention to Award, a Framework Agreement will be formally awarded.",400000000.0,GBP
2017-04-07 00:00:00+00,2017-04-07 00:00:00+00,2017-05-08 15:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0002-131319-2017,,National fuels framework.,"Crown Commercial Service as the Authority is putting in place a Framework Agreement for the supply of National fuels and associated products and services to central government organisations and the wider public sector across the UK, including Northern Ireland.

The duration of the Framework Agreement is for a two (2) year period with an option to extend by a one (1) year plus one (1) further year period(s).

The Framework agreement will consists of five (5) Lots:

Lot Group 1 — Liquid Fuel.

Lot 2 — Liquefied Gas.

Lot 3 — Solid Fuel and Biomass Fuel.

Lot 4 — Greases, Lubricants and Antifreeze.

Lot 5 — Associated Products and Services.

Potential Providers have the opportunity to submit a Tender for all or any combination of Lots details above.

Please be advised that the Authority does not consider that the Transfer of Undertakings (Protection of Employment) Regulations 2006 (‘TUPE’) to be an issue in respect of this Procurement at Framework Agreement Award Stage as services are not provided at this level.

At the Call Off Contract stage, the Authority takes the view that TUPE is unlikely to apply. It is the responsibility of Potential Providers to take their own advice and consider whether TUPE is likely to apply at the Call Off Contract stage and to act accordingly.",1500000000.0,GBP
2017-04-15 00:00:00+00,2017-04-15 00:00:00+00,2017-05-15 15:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0002-146268-2017,,Rm 3816 estates professional services.,"Crown Commercial Service as the Contracting Authority is putting in place a Pan Government Collaborative Framework Agreement for use by UK public sector bodies identified at VI.3 (and any future successors to these organisations), which include Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public Bodies, NHS bodies and Local Authorities.

The above Public Sector Bodies have a need for the professional management, advice guidance, negotiation and assistance on land, property and estates issues.

The Services covered are divided into the following Lots:

1) National;

2) Regional Panels:

Regional Panel 2A — East Anglia,

Regional Panel 2B — East and West Midlands,

Regional Panel 2C — London and South East England,

Regional Panel 2D — North East England,

Regional Panel 2E — North West England and North Wales,

Regional Panel 2F — Northern Ireland,

Regional Panel 2G — Scotland,

Regional Panel 2H — South Wales and South West England;

Lot 3 Vertical Real Estates (VRE);

Lot 4 Facilities Management and Property Services (Procurement Managed Service).

Potential Providers have the opportunity to bid for all or any combination of the 4 Lots. Where a Potential Provider is successful in Lot 1 and Lot 2 the Potential Provider will only be awarded a place on Lot 1. Potential Providers have the opportunity to bid for all or any combination of Regional Panels in Lot 2. The maximum number of Regional Panels that a Potential Provider will be awarded is 3. Where a Potential Provider is successful in more than 3 Regional Panels the Potential Provider will be awarded only 3 according to the Potential Provider's order of preference. In this instance the next ranking Potential Provider will take its place in the other Regional Panels.

Potential Providers that are bidding independently for Lots 1 and or Lot 2 should not also bid for these Lots as a member of a Group of Economic Operators. Potential Providers doing so will be required to withdraw the independent bid or the bid may be considered to be non-compliant or the Authority may require the Potential Providers place in the Group of Economic Operators to be removed. For the avoidance of doubt any Potential Provider that decides to bid both independently and as part of a consortia then the Authority reserves the right to exclude any bid where it has sufficiently plausible indications that the bid distorts competition.

Crown Commercial Service reserves the right for an electronic auction to be held by Public Sector bodies during further competition among the parties to the Framework Agreement(s).

The Authority reserves the right to Award all Lots or any combination thereof. The Lots may be awarded independently and at different times e.g. if the Authority were to be facing a potential challenge for Lot 4, the Authority would still award (following the conclusion of the mandatory standstill period) the other Lots. The Authority would then award Lot 4 at a later date.

With reference to the Fixed Number shown in II.1.4 Potential Providers should be aware that may be certain circumstances (such as dead heat in scoring) where the number of Suppliers Awarded a place on the Framework Agreement may increase above this number. The process for this is detailed in the Invitation To Tender.

Potential suppliers should note that, in accordance with the UK Government's policies on transparency, Crown Commercial Service intends to publish the Invitation to Tender (ITT) document and the text of any Framework Agreement awarded, subject to possible redactions at the discretion of Crown Commercial Service. The terms of the proposed Framework Agreement will also permit a public sector contracting authority, awarding a contract under this Framework Agreement, to publish the text of that contract, subject to possible redactions at the discretion of the contracting authority. Further information on transparency can be found at:

https://www.gov.uk/government/publications/procurement-and-contracting-transparency-requirements-guidance

The Contracting Authority expressly reserves the right (i) not to award any contract as a result of the procurement process commenced by publication of this notice; and (ii) to make whatever changes it may see fit to the content and structure of the tendering competition; and in no circumstances will the Contracting Authority be liable for any costs incurred by the candidates. If the Contracting Authority decides to enter into a Framework Agreement with the successful supplier, this does not mean that there is any guarantee of subsequent contracts being awarded. Any expenditure, work or effort undertaken prior to contract award is accordingly a matter solely for the commercial judgement of potential suppliers. Any orders placed under this Framework Agreement will form a separate contract under the scope of this Framework between the supplier and the specific requesting other contracting body. The Contracting Authority and other contracting bodies utilising the Framework reserve the right to use any electronic portal during the life of the agreement.

The duration referenced in Section II.1.4 is for the placing of orders.

The value provided in Section II.1.4 is only an estimate. We cannot guarantee to suppliers any business through this framework agreement.",430000000.0,GBP
2018-04-05 00:00:00+00,2018-04-05 00:00:00+00,2018-05-02 15:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0002-146984-2018,,Permanent recruitment,"Crown Commercial Service as the contracting authority wishes to establish a pan government Framework Agreement for the provision of Permanent Recruitment Services, intended for access by all UK public sector bodies including Central Government Departments and their Arm's Length Bodies and Agencies, Non Departmental Public Bodies, NHS bodies, Local Authorities, Devolved Administrators and Emergency Services and other bodies who are named in the OJEU contract notice. This framework aims to establish an agreement with a comprehensive range of suppliers providing national and regional coverage. Further details on this procurement can be found here: http://ccs-agreements.cabinetoffice.gov.uk/procurement-pipeline.

The duration of the Framework Agreement is two (2) years with an option to extend for a further two (2) periods of twelve (12) months at the Authority's discretion.",,
2019-09-16 00:00:00+00,,2019-10-11 00:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-433918-2019,,Insurance and Related Services 3,"Insurance brokerage and associated services, typically including cover for the following classes of insurance: liability, property, motor, insurance and travel.Insurance brokerage and associated services, a broad range of services a typical example will include: assurance services, audits, claims handling, consultancy, courtesy car and relief vehicle, incident investigation and loss analysis/forecasting.Compensation claims handling and associated services.",,
2018-07-18 00:00:00+00,,2018-07-23 00:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-311068-2018,,Digital Outcomes and Specialists 3,"Digital outcomes suppliers can help research, test, design, build, release, iterate, support or retire a digital service. 
Digital outcomes suppliers must: 
— comply with the technology code of practice (https://www.gov.uk/service-manual/technology/code-of-practice.html) 
— work according to the government service design manual (https://www.gov.uk/service-manual) 
— understand what it means to work on one of the discovery, alpha, beta, live or retirement phases outlined in the government service design manual (https://www.gov.uk/service-manual) 
Examples of recent digital outcomes include: 
— a discovery phase to create an information systems vision for the business functions of an NHS department 
— development of online resources to support medieval history teaching in secondary schools 
— the build of an online, front-end billing application to replace a paper-based system for Ministry of Justice 
Digital outcomes suppliers must provide at least one of the following: 
— design 
— performance analysis and data 
— security 
— service delivery 
— software development 
— support and operations 
— testing and auditing 
— user research 
Digital specialists suppliers provide government departments and teams with specialists for work on a service, programme or project. The work you do has a defined scope and deliverables. 
Digital specialists suppliers must: 
— only provide specialists from their existing team 
— offer evidence of competence in each role if requested by the buyer 
— ensure all roles support the government service design manual’s description (https://www.gov.uk/service-manual/theteam) of what you need to build a successful service 
Examples of digital specialist briefs include: 
— a user researcher for the discovery phase of the prison visits tool 
— a delivery manager to work on the transition of the replacement driving licence product from beta to live 
— a front-end developer to work on the beta of the MOT recording product, which is part of the MOT registrations service 
Digital specialists suppliers must provide at least one of the following roles: 
— agile coach 
— business analyst 
— communications manager 
— content designer or copywriter 
— cyber security consultant 
— delivery manager or project manager 
— designer 
— developer 
— performance analyst 
— portfolio manager 
— product manager 
— programme delivery manager 
— quality assurance analyst 
— service manager 
— technical architect 
— user researcher 
— visual designer 
— web operations engineer 
— data engineer 
— data scientist 
— data architect 
Any supplier wishing to provide services through an Agency model should be aware that other CCS agreements are available to offer services as an Agency. 
User research should inform the development of all government digital services. 
User research studios suppliers must provide: 
— user research studio hire in the right location on specific dates. 
All government digital services need to: 
— use research to develop a deep knowledge of who the service users are and what that means for the design of the service 
— have a plan for ongoing user research and usability testing to continuously seek feedback from users to improve the service 
User research participants suppliers must provide: 
— access to user research participants who best reflect the users of a service",,
2018-07-18 00:00:00+00,2018-07-18 00:00:00+00,2018-07-23 17:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0002-311068-2018,,Digital outcomes and specialists 3,"Crown Commercial Service as the Contracting Authority is putting in place a Pan Government Collaborative Framework Agreement for use by UK public sector bodies identified at VI.3 (and any future successors to these organisations). These bodies have a need for a compliant Procurement Vehicle to access digital outcomes, specialists and supporting services.

This Framework will be a recurring Framework, the maximum duration of any Call-Off Contract that may be placed by an eligible Contracting Body is 24 months (with an optional extension for up to a further 6 months).

This Digital Outcomes and Specialists 3 procurement will be responded to via the Digital Marketplace (accessed here: https://www.digitalmarketplace.service.gov.uk) and details of how to register are included in the ITT. Suppliers must register on the Digital Marketplace, and full instructions on how to register are included in the ITT.",,
2018-04-17 00:00:00+00,2018-04-17 00:00:00+00,2018-05-23 17:00:00+00,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0002-164715-2018,,G-cloud 10,"Agreement for use by UK public sector bodies identified at VI.3 (and any future successors to these organisations), which include Central Government Departments and their Arms Length Bodies and Agencies, Non-Departmental Public Bodies, NHS bodies and Local Authorities.

The above Public Sector Bodies have a need for a compliant Procurement Vehicle to access Cloud Computing Services.

The maximum initial duration of any Call-Off Contract that may be placed by an eligible Contracting Body is 24 months with two (2) extensions allowed, each of up to 12 months.

Potential Providers must respond to this G-Cloud 10 procurement via the Digital Marketplace. Full instructions on how to apply are explained at https://www.gov.uk/guidance/g-cloud-suppliers-guide #how-to-apply including the steps that Potential Providers need to take to offer services on the Digital Marketplace.",,
2017-10-05 00:00:00+00,,,The Minister for the Cabinet Office acting through Crown Commercial Service,,,ocds-0c46vo-0133-391221-2017,,Media Buying.,"Crown Commercial Service (CCS) plans to introduce a procurement for Media Buying. CCS and GCS plan to work extensively with the market and customers in the coming months, in order to develop a fit-for-purpose procurement strategy.",,
